,topic_id,name,validation_stage,SourceData,KeyBERT_InKey,TopicRank_InKey
62,c375ad32-cd10-5f77-9612-c51f976c7f5b,FAST-Invoice,9,Found,NotFound,NotFound
63,d5c6d05b-4428-5123-a174-40afc1972130,FAST-Pharmacy,9,NotFound,NotFound,NotFound
64,4fe751a3-cc4c-513c-9da8-91a052d0c548,FAST-Professional Services,9,NotFound,NotFound,NotFound
65,969f8174-a2eb-5034-99c3-0f84f3c76361,FAST-Retail,9,Found,NotFound,NotFound
66,c5109493-069c-5f99-b038-5ff7f69527ee,Field Services,9,Found,Found,NotFound
67,063e9021-6474-5884-bfef-9430ce8bd8b9,Finance,9,Found,NotFound,Found
68,d2fb176e-7bd0-52a7-a389-9d67b87e5c2e,Financial Close,9,Found,NotFound,NotFound
69,dabb0b2c-8e34-5a67-8810-953100e50be8,GDPR,9,Found,NotFound,Found
70,b19efab2-141a-5b8d-a745-e1a4af8456f9,Governance,9,Found,NotFound,Found
71,1bb95423-f2e1-599a-acb9-7eb8ed9c6325,Human resources,9,Found,NotFound,NotFound
72,ec7b80da-4604-5755-9638-87c626e2b84d,IFRS,9,NotFound,NotFound,NotFound
73,a333877d-994f-5d57-a627-afea7d53469b,Industry 4.0,9,Found,NotFound,NotFound
74,af4c18ca-6496-56b1-a9af-05d17906ccd9,Information Management,9,Found,Found,Found
75,153514aa-3556-579e-8bd7-4dab58cee7fc,Information Security,9,Found,NotFound,NotFound
76,30b1a914-84e8-530e-a7be-8e63f5ab4216,inRiver,9,Found,NotFound,Found
77,c9f12d62-8e10-53fe-aad7-2ca0bdfae4b4,Intranet,9,Found,NotFound,NotFound
78,090ccedc-48a1-5bfa-992f-d1983d1f023c,Inventory Accounting,9,Found,NotFound,NotFound
79,b4a6ade6-ec47-5d33-8936-6f82077b06fe,Invoice Management,9,Found,Found,NotFound
80,8cf067fd-e028-5725-b65e-87e766c5ef59,IoT,9,Found,Found,Found
81,984f72f5-7bbc-5d2c-bcd4-ae05db8b33ea,ISO,9,NotFound,NotFound,NotFound
82,600cdee3-6b93-59d8-9a21-48bdcc69a9a4,Knowledge management,9,Found,NotFound,NotFound
83,bb39560d-ccea-5487-a189-fc85e462021e,Legal Reporting,9,Found,NotFound,NotFound
84,d9c5243c-201b-5d12-821b-e19b02c3f4f4,Long term planning,9,Found,NotFound,NotFound
85,b2c97a7a-2593-560c-bcd8-a6550bdcb3ce,Low code,9,Found,NotFound,NotFound
86,bdf44650-d7ba-57cd-80e8-518e9a3375c5,Machine Learning,9,Found,NotFound,Found
87,4ad01f2b-1924-529a-a2f6-f53a188690a7,Make-to-order,9,NotFound,NotFound,NotFound
88,d96e2651-bd66-5bdc-abee-bc05230b00ed,Make-to-Stock,9,NotFound,NotFound,NotFound
89,d73bd8cc-76d2-5c45-a73d-75bb2d0b3096,Master Data,9,Found,NotFound,Found
90,adcc03e7-f014-51f0-9b83-97ba22120661,Master data governance,9,Found,NotFound,NotFound
91,f8570c28-1a3a-5f31-9438-ad02da14a756,Master Data Management,9,Found,Found,Found
92,938eea6d-53a0-5e6c-af72-8a8cbe28fbf3,Mendix,9,Found,NotFound,Found
93,8e393640-2f13-5231-9ba5-2950e75f65f9,MES,9,Found,NotFound,NotFound
94,768d5dd3-f560-553a-9812-8a9e52d1f471,Microsoft 365,9,Found,NotFound,NotFound
95,c154e2c9-e4d4-5a76-b33c-acc8242ae144,Microsoft Cortana,9,Found,NotFound,NotFound
96,b5a3b251-d306-5e9f-b99f-4e0b8399c9ae,Microsoft Dynamics,9,Found,Found,Found
97,cb97412f-2176-5e59-911c-6a6c3b85b1b0,Microsoft Dynamics 365 Business Central,9,Found,NotFound,NotFound
98,a9498b61-f2a8-54f9-bad3-387a6ba2c1c5,Microsoft Dynamics AX,9,Found,NotFound,NotFound
99,23addbfa-64a9-5bb8-ae4d-b4fb8f23f34d,Microsoft Intune,9,NotFound,NotFound,NotFound
100,4c9385c5-5c36-581e-b62b-110b233bb5d8,Microsoft Teams,9,Found,Found,Found
101,7d9caddf-a320-5211-b09e-af6bf5d4255d,Microsoft Viva,9,Found,NotFound,NotFound
102,6752e36f-4115-59a7-bfbc-8611ad650d14,MS Power Apps,9,Found,NotFound,NotFound
103,6733187b-4651-5635-8cf0-c19f7f8a7d57,MS Sharepoint,9,Found,NotFound,NotFound
104,31d46b6b-4106-5e8e-a81c-71000be2248c,.NET,9,Found,NotFound,NotFound
